J’ai passé les vacances à la maison.;I spent the holidays at home.
Il faut que j’en trouve un autre.;I must find another one.
Je regarde la nouvelle commande du client.;I’m looking at the customer’s new order.
Où as-tu travaillé pendant ton stage ?;Where did you work during your internship?
Où étudies-tu cette année ?;Where are you studying this year?
Le client veut que nous expédiions la commande demain.;The customer wants us to ship out the order tomorrow.
L’entreprise a commandé 10 000 cartes de visite la semaine dernière.;The company ordered 10000 business cards last week.
Que dois-tu faire cette semaine ?;What must you do this week?
Je voudrais faire un stage dans une entreprise près de chez moi;I would like to do an internship in a company close to home.
As-tu parlé aux clients ?;Did you speak to the customers?
